lincs ID,cluster
BRD-K54405293,5
BRD-K07161233,16
BRD-K24346336,10
BRD-K19687926,17
BRD-K09460252,10
BRD-K53331454,16
BRD-K74133369,14
BRD-K03122949,14
BRD-K22322324,13
BRD-K58900438,1
BRD-K47731572,9
BRD-K42644990,16
BRD-K25884242,13
BRD-K89843224,10
BRD-A82628254,7
BRD-K00390580,8
BRD-K52678950,14
BRD-K49861754,3
BRD-A43087975,11
BRD-K74606027,2
BRD-K80346834,17
BRD-K41757249,8
BRD-K93899689,11
BRD-K51696048,17
BRD-K73707305,7
BRD-K53214709,3
BRD-K59556282,5
BRD-K91355947,16
BRD-K69569876,2
BRD-K15107389,14
BRD-K69852452,14
BRD-A12643502,7
BRD-K92489476,9
BRD-A70879086,1
BRD-A74699940,8
BRD-K22384978,8
BRD-K63587518,6
BRD-A39121618,7
BRD-K00954209,5
BRD-K75418381,16
BRD-A32214171,14
BRD-A96272097,16
BRD-K48204702,8
BRD-K63350243,10
BRD-K81609421,16
BRD-K31754360,14
BRD-K32321439,7
BRD-K14395638,4
BRD-K58547240,14
BRD-K96704748,11
BRD-K70369221,4
BRD-K88542532,7
BRD-K03176945,8
BRD-K46961308,12
BRD-K82492171,14
BRD-K61627029,16
BRD-K30715099,14
BRD-A07614565,14
BRD-K51731619,13
BRD-K58628167,10
BRD-A81530502,3
BRD-K55896799,16
BRD-K55991774,16
BRD-K83643280,12
BRD-K50360938,10
BRD-K82685933,1
BRD-A47706533,6
BRD-A02333338,7
BRD-K25504083,10
BRD-A09984573,14
BRD-K07888107,7
BRD-A75931230,14
BRD-K65261396,7
BRD-K14791739,14
BRD-A32161980,15
BRD-K26048285,8
BRD-K87909389,1
BRD-K59369769,12
BRD-K49328571,8
BRD-K50140147,2
BRD-K46056750,1
BRD-A10523515,10
BRD-K97056771,10
BRD-K76908866,14
BRD-K79090631,7
BRD-K92428232,16
BRD-K13390322,7
BRD-K92723993,14
BRD-A59193861,1
BRD-K10817986,10
BRD-K36264978,11
BRD-K68344511,14
BRD-K54331210,10
BRD-A06909528,8
BRD-A60386802,8
BRD-K36591038,4
BRD-K23027438,16
BRD-K71427192,8
BRD-K26367064,10
BRD-A75471153,7
BRD-A77050075,14
BRD-K28293491,5
BRD-A41114263,16
BRD-K59460069,3
BRD-A41997916,15
BRD-K60685007,10
BRD-A68274214,12
BRD-A43188678,10
BRD-K84571636,3
BRD-K54573313,7
BRD-A14178283,9
BRD-A20488704,9
BRD-K52640952,16
BRD-A77704559,16
BRD-A94381689,14
BRD-A95820578,8
BRD-A30083233,17
BRD-K94493764,14
BRD-A57300602,2
BRD-K98519396,4
BRD-K63425657,4
BRD-A25416824,11
BRD-K85266146,8
BRD-A83402799,1
BRD-K66876909,14
BRD-K28120222,10
BRD-A32241587,16
BRD-A56800788,1
BRD-K49810818,7
BRD-K29905972,4
BRD-K19540840,16
BRD-K66175015,10
BRD-K05104363,4
BRD-K29733039,4
BRD-K05926469,16
BRD-K99616396,11
BRD-K49865102,10
BRD-K23984367,4
BRD-K89162000,1
BRD-K15600710,14
BRD-A13807286,8
BRD-K63068307,14
BRD-K17743125,8
BRD-K04833372,16
BRD-K72703948,14
BRD-K07881437,9
BRD-K24681473,14
BRD-K29582677,17
BRD-K63923597,16
BRD-K42125900,7
BRD-K16478699,14
BRD-K71512533,9
BRD-K40892394,11
BRD-K16621777,16
BRD-K51967704,8
BRD-K17210248,7
BRD-K11636097,13
BRD-K71823332,10
BRD-K47832606,4
BRD-A25569250,8
BRD-K64785675,14
BRD-K35687265,14
BRD-K65389993,16
BRD-K64881305,14
BRD-K62982419,14
BRD-K31553034,1
BRD-K05658747,3
BRD-K76810206,14
BRD-K31283835,1
BRD-K67867734,14
BRD-K64440589,4
